Year,AwardEffectiveDate,AwardExpirationDate,MinAmdLetterDate,MaxAmdLetterDate,AwardInstrument,AwardAmount,AwardID,Directorate,Division
2005,08/01/2005,07/31/2007,07/27/2005,08/29/2006,Standard Grant,99253,0500002,Directorate For Geosciences,Directorate For Geosciences
2005,08/15/2005,07/31/2011,08/09/2005,06/30/2010,Continuing Grant,210000,0500008,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2005,07/15/2005,06/30/2009,06/24/2005,07/19/2007,Continuing grant,339114,0500015,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2005,05/01/2005,04/30/2009,04/11/2005,02/12/2007,Continuing grant,174000,0500017,Direct For Mathematical & Physical Scien,Division Of Materials Research
2005,07/15/2005,06/30/2008,07/25/2005,07/25/2005,Standard Grant,93000,0500029,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2005,04/15/2005,03/31/2009,04/06/2005,04/06/2005,Standard Grant,281882,0500032,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2005,06/01/2005,05/31/2008,05/20/2005,07/14/2005,Standard Grant,85404,0500045,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2005,09/15/2005,08/31/2008,09/06/2005,06/21/2007,Continuing grant,180000,0500056,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2005,11/15/2004,10/31/2010,11/04/2004,12/07/2009,Fellowship Award,758468,0500059,Direct For Education and Human Resources,Division Of Graduate Education
2005,05/01/2005,04/30/2010,06/01/2005,03/24/2008,Continuing Grant,960242,0500061,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
2005,04/01/2005,08/31/2009,03/22/2005,03/22/2005,Standard Grant,271105,0500064,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2005,06/15/2005,12/31/2006,06/17/2005,06/17/2005,Standard Grant,75000,0500068,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2005,09/01/2005,08/31/2008,08/18/2005,07/05/2007,Continuing grant,100000,0500070,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2005,07/01/2005,11/30/2005,02/23/2005,02/23/2005,Standard Grant,300292,0500071,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2005,05/01/2005,04/30/2008,04/20/2005,04/20/2005,Standard Grant,170001,0500090,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2005,07/01/2004,06/30/2006,08/09/2005,01/13/2006,Standard Grant,22826,0500100,"Directorate for Social, Behavioral & Economic Sciences",Division of Social and Economic Sciences
2005,07/01/2005,06/30/2008,06/17/2005,06/17/2005,Standard Grant,105000,0500106,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2005,09/01/2005,08/31/2009,08/23/2005,08/30/2008,Standard Grant,30000,0500107,Direct For Biological Sciences,Div Of Biological Infrastructure
2005,08/01/2005,01/31/2009,08/01/2005,08/01/2005,Standard Grant,255000,0500113,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2005,07/01/2005,06/30/2009,06/22/2005,06/22/2005,Standard Grant,105000,0500118,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2005,07/01/2005,06/30/2008,06/29/2005,06/14/2007,Standard Grant,49425,0500124,Direct For Biological Sciences,Div Of Molecular and Cellular Bioscience
2005,06/01/2005,10/31/2005,03/28/2005,03/28/2005,Standard Grant,279993,0500125,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2005,07/01/2005,06/30/2008,04/06/2005,03/12/2007,Continuing Grant,140000,0500127,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2005,01/01/2005,12/31/2006,11/05/2004,05/17/2006,Standard Grant,110631,0500133,Direct For Computer & Info Scie & Enginr,Div Of Information & Intelligent Systems
2005,09/15/2004,06/30/2007,01/18/2005,09/14/2005,Standard Grant,20936,0500134,Directorate For Geosciences,Division Of Ocean Sciences
2005,03/01/2005,02/28/2006,02/25/2005,02/25/2005,Standard Grant,3000,0500147,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2005,09/01/2005,08/31/2010,09/02/2005,04/09/2009,Standard Grant,299893,0500155,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2005,06/15/2005,05/31/2009,06/15/2005,06/15/2005,Standard Grant,150000,0500159,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2005,05/01/2005,04/30/2007,04/21/2005,02/06/2006,Continuing grant,75286,0500172,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2005,07/01/2005,10/31/2005,03/16/2005,03/16/2005,Standard Grant,251532,0500176,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2005,06/01/2005,05/31/2009,05/09/2005,05/09/2005,Standard Grant,96001,0500177,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2005,07/01/2004,08/31/2006,10/27/2004,04/13/2005,Continuing grant,108699,0500179,"Direct For Social, Behav & Economic Scie",Division Of Behavioral and Cognitive Sci
2005,03/01/2005,04/30/2012,05/18/2005,03/01/2012,Cooperative Agreement,34513971,0500180,Directorate For Geosciences,Division Of Ocean Sciences
2005,05/01/2005,10/31/2005,04/18/2005,04/18/2005,Standard Grant,30500,0500185,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2005,07/01/2005,07/31/2012,04/18/2005,04/21/2009,Continuing Grant,554708,0500187,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2005,07/01/2005,09/30/2010,04/01/2005,07/15/2010,Continuing grant,395826,0500191,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2005,07/01/2005,06/30/2009,03/16/2005,03/14/2007,Continuing grant,330000,0500198,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2005,05/01/2005,04/30/2010,04/06/2005,09/08/2006,Continuing grant,419736,0500202,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2005,07/01/2005,06/30/2009,05/09/2005,06/01/2007,Continuing grant,323297,0500205,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2005,07/01/2005,06/30/2006,08/02/2005,08/02/2005,Standard Grant,50000,0500210,Direct For Biological Sciences,Div Of Molecular and Cellular Bioscience
2005,06/15/2005,02/28/2009,06/15/2005,06/15/2005,Standard Grant,80000,0500213,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2005,07/15/2005,06/30/2007,07/05/2005,07/12/2006,Standard Grant,75000,0500216,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2005,06/01/2005,05/31/2009,06/08/2005,03/07/2007,Continuing Grant,110712,0500221,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2005,08/01/2005,01/31/2007,07/28/2005,06/28/2006,Standard Grant,30000,0500225,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2005,07/01/2005,06/30/2009,07/01/2005,07/01/2005,Standard Grant,304583,0500234,Direct For Computer & Info Scie & Enginr,Division of Computing and Communication Foundations
2005,07/01/2005,06/30/2008,05/03/2005,08/25/2005,Standard Grant,333256,0500239,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2005,07/01/2005,06/30/2009,06/22/2005,09/15/2006,Standard Grant,327000,0500241,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2005,04/01/2005,03/31/2008,03/25/2005,04/16/2007,Continuing Grant,120000,0500249,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2005,04/01/2005,03/31/2009,02/23/2005,03/25/2008,Standard Grant,349999,0500254,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2005,07/01/2005,06/30/2008,06/21/2005,06/21/2005,Standard Grant,72001,0500257,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2005,05/01/2005,04/30/2008,04/19/2005,06/07/2007,Standard Grant,249999,0500263,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2005,05/15/2005,12/31/2009,04/18/2005,04/18/2005,Standard Grant,200000,0500265,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2005,06/01/2005,05/31/2010,04/12/2005,04/12/2005,Standard Grant,97441,0500267,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2005,09/01/2005,08/31/2009,08/25/2005,01/30/2009,Standard Grant,76000,0500268,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
